input,output
수상레저기구 거북호 서해영해 미상 5월 12-16시,침수
어선 선명미상 기타 미상 3월 0-4시,충돌
어선 예천호 서해영해 미상 11월 20-24시,충돌
어선 선명무 서해영해 미상 5월 4-8시,운항저해
수상레저기구 서해킹호 서해영해 미상 5월 16-20시,기관손상
수상레저기구 선명무 서해영해 미상 6월 8-12시,운항저해
어선 광진2호 남해영해 1톤미만 10월 12-16시,안전사고
어선 무등록어선 동해영해 미상 6월 4-8시,전복
어선 선명미상 서해영해 미상 10월 0-4시,충돌
어선 제링유26938 남해공해 미상 12월 0-4시,충돌
수상레저기구 진또배기 동해영해 미상 8월 16-20시,운항저해
"기타선 선명미상 마산항, 진해항, 진해만(가덕수로) 미상 9월 8-12시",충돌
어선 선명미상 남해공해 미상 1월 0-4시,충돌
어선 선명미상 부산항 및 진입수로 미상 2월 8-12시,충돌
어선 킹호 남해영해 미상 7월 4-8시,기타
어선 선명미상 서해영해 미상 12월 16-20시,운항저해
어선 동운호 남해영해 미상 3월 8-12시,전복
어선 무등록선 동해영해 미상 7월 0-4시,전복
어선 성남호 서해영해 1톤미만 11월 20-24시,침수
"어선 선명미상 여수항, 광양항 및 진입수로 1톤미만 10월 16-20시",충돌
수상레저기구 제일호 인천항 및 진입수로 미상 9월 8-12시,운항저해
수상레저기구 드림호 서해영해 미상 9월 8-12시,조타장치손상
어선 거상호 서해영해 1톤미만 3월 12-16시,침수
수상레저기구 선명무 서해영해 미상 9월 8-12시,기관손상
어선 영복5호 서해영해 1톤미만 9월 8-12시,전복
어선 삼우호 서해영해 1톤미만 10월 20-24시,기관손상
어선 일호 서해영해 1톤미만 5월 12-16시,기관손상
어선 외성호 남해영해 1톤미만 3월 16-20시,화재 · 폭발
어선 청해호 서해영해 1톤미만 10월 20-24시,기관손상
어선 성한호 동해영해 1톤미만 1월 12-16시,전복
어선 제2경수호 동해영해 1톤미만 1월 16-20시,침수
어선 선명미상 남해영해 1톤미만 2월 16-20시,안전사고
어선 진영호 서해영해 1톤미만 6월 8-12시,전복
"어선 명성2호 울산항(미포만포함), 포항항 1톤미만 3월 8-12시",기관손상
어선 용호호 남해영해 1톤미만 7월 4-8시,충돌
수상레저기구 코란도호 서해영해 미상 9월 8-12시,침수
어선 대일호 남해영해 1톤미만 8월 20-24시,침수
어선 대이호 남해영해 1톤미만 8월 20-24시,침수
어선 한양호 서해영해 1톤미만 9월 4-8시,침몰
어선 솔로몬 서해영해 1톤미만 5월 8-12시,침수
수상레저기구 씨헌터호 서해영해 미상 9월 8-12시,기관손상
어선 동해호 동해영해 1톤미만 7월 12-16시,기관손상
어선 한길호 목포항 및 진입수로 1톤미만 2월 8-12시,침수
수상레저기구 선명무 서해영해 미상 10월 8-12시,충돌
어선 만성호 서해영해 1톤미만 11월 20-24시,충돌
어선 문창호 남해영해 1톤미만 10월 0-4시,침수
"기타선 보성비-7호 울산항(미포만포함), 포항항 미상 10월 12-16시",충돌
수상레저기구 선명무 서해영해 미상 11월 12-16시,충돌
어선 문창호 남해영해 1톤미만 6월 4-8시,충돌
어선 해동호 동해영해 1톤미만 5월 4-8시,침수
수상레저기구 푸른바다호 서해영해 미상 11월 20-24시,부유물감김
어선 무명호 서해영해 1톤미만 2월 4-8시,안전사고
어선 만덕호 목포항 및 진입수로 1톤미만 3월 12-16시,침수
어선 선명무 서해영해 1톤미만 4월 8-12시,좌초
수상레저기구 신진호 서해영해 미상 12월 8-12시,기관손상
어선 남일호 남해영해 1톤미만 5월 16-20시,좌초
"어선 선명미상 여수항, 광양항 및 진입수로 1톤미만 6월 8-12시",추진축계손상
어선 선명미상 남해영해 1톤미만 9월 16-20시,추진축계손상
어선 제8태광호 서해영해 1톤미만 6월 8-12시,부유물감김
어선 무등록선박 남해영해 1톤미만 7월 12-16시,기관손상
어선 무등록선박 남해영해 1톤미만 2월 8-12시,전복
기타선 선명미상 남해영해 미상 12월 20-24시,침몰
어선 선명미상 동해영해 1톤미만 6월 16-20시,기관손상
어선 무등록어선 남해영해 1톤미만 10월 8-12시,기관손상
어선 다은2호 서해영해 1톤미만 10월 16-20시,충돌
어선 무등록어선 남해영해 1톤미만 10월 8-12시,충돌
어선 무등록선박 남해영해 1톤미만 11월 4-8시,침몰
어선 무등록어선 동해영해 1톤미만 6월 4-8시,안전사고
어선 무등록선박 남해영해 1톤미만 8월 12-16시,충돌
어선 성일호 서해영해 1톤미만 8월 8-12시,전복
여객선 송악산102호 남해영해 미상 12월 8-12시,안전사고
어선 선명 없음 동해영해 1톤미만 10월 12-16시,침몰
어선 선명미상 남해영해 1톤미만 3월 16-20시,화재 · 폭발
어선 선명미상 남해영해 1톤미만 3월 16-20시,화재 · 폭발
어선 선명미상 남해영해 1톤미만 3월 8-12시,전복
어선 아랑3호 서해영해 1톤미만 9월 4-8시,침몰
어선 선명미상 서해영해 1톤미만 10월 16-20시,전복
기타선 동성호 동해영해 미상 12월 4-8시,충돌
어선 선명미상 서해영해 1톤미만 10월 16-20시,전복
기타선 무등록선부선 서해영해 미상 2월 20-24시,화재 · 폭발
어선 선명미상 서해영해 1톤미만 10월 16-20시,전복
어선 선명무 인천항 및 진입수로 1톤미만 10월 4-8시,추진축계손상
어선 영일호 서해영해 1톤미만 2월 8-12시,전복
어선 금성호 남해영해 1톤미만 6월 16-20시,화재 · 폭발
어선 성해호 서해영해 1톤미만 6월 16-20시,기관손상
어선 승진호 남해영해 1톤미만 1월 16-20시,기관손상
어선 은수호 남해영해 1톤미만 11월 12-16시,운항저해
어선 타이탄호 목포항 및 진입수로 1톤미만 8월 4-8시,충돌
수상레저기구 스타호 서해영해 미상 2월 12-16시,운항저해
어선 타이탄호 서해영해 1톤미만 11월 0-4시,기관손상
어선 귀복호 목포항 및 진입수로 1톤미만 11월 8-12시,침수
어선 화도호 남해영해 1톤미만 12월 8-12시,기관손상
수상레저기구 토마호크2호 서해영해 미상 2월 12-16시,기관손상
어선 제2018천은호 남해영해 3~5톤미만 1월 16-20시,충돌
"어선 효성호 여수항, 광양항 및 진입수로 1톤미만 7월 16-20시",침몰
기타선 제이피 플로팅도크 남해영해 미상 3월 8-12시,침몰
수상레저기구 피시뱅크 서해영해 미상 3월 12-16시,전복
어선 형제호 남해영해 1톤미만 12월 8-12시,전복
어선 205일진호 남해영해 50~100톤미만 1월 16-20시,충돌
어선 떼무리호 인천항 및 진입수로 1톤미만 5월 12-16시,전복
어선 남홍호 남해영해 1톤미만 5월 8-12시,추진축계손상
어선 길성호 부산항 및 진입수로 1톤미만 1월 8-12시,좌초
수상레저기구 선명무 서해영해 미상 3월 8-12시,기관손상
기타선 선명무 서해영해 미상 4월 4-8시,충돌
어선 삼성호 남해영해 1톤미만 3월 8-12시,기관손상
수상레저기구 마린에프엑스호 서해영해 미상 5월 12-16시,운항저해
어선 정선호 서해영해 1톤미만 8월 8-12시,기관손상
"기타선 고려1호 여수항, 광양항 및 진입수로 미상 5월 8-12시",해양오염
어선 주영호 목포항 및 진입수로 1톤미만 10월 8-12시,운항저해
